fasta,name,organism,source,genome_assembly
s3://ngi-igenomes/igenomes/Danio_rerio/Ensembl/GRCz10/Sequence/WholeGenomeFasta/genome.fa,Danio_rerio/Ensembl/GRCz10,Danio rerio,Ensembl,GRCz10
s3://ngi-igenomes/igenomes/Danio_rerio/Ensembl/Zv9/Sequence/WholeGenomeFasta/genome.fa,Danio_rerio/Ensembl/Zv9,Danio rerio,Ensembl,Zv9
s3://ngi-igenomes/igenomes/Danio_rerio/NCBI/GRCz10/Sequence/WholeGenomeFasta/genome.fa,Danio_rerio/NCBI/GRCz10,Danio rerio,NCBI,GRCz10
s3://ngi-igenomes/igenomes/Danio_rerio/NCBI/Zv9/Sequence/WholeGenomeFasta/genome.fa,Danio_rerio/NCBI/Zv9,Danio rerio,NCBI,Zv9
s3://ngi-igenomes/igenomes/Danio_rerio/UCSC/danRer10/Sequence/WholeGenomeFasta/genome.fa,Danio_rerio/UCSC/danRer10,Danio rerio,UCSC,danRer10
s3://ngi-igenomes/igenomes/Danio_rerio/UCSC/danRer7/Sequence/WholeGenomeFasta/genome.fa,Danio_rerio/UCSC/danRer7,Danio rerio,UCSC,danRer7
s3://ngi-igenomes/igenomes/Drosophila_melanogaster/Ensembl/BDGP5.25/Sequence/WholeGenomeFasta/genome.fa,Drosophila_melanogaster/Ensembl/BDGP5.25,Drosophila melanogaster,Ensembl,BDGP5.25
s3://ngi-igenomes/igenomes/Drosophila_melanogaster/Ensembl/BDGP5/Sequence/WholeGenomeFasta/genome.fa,Drosophila_melanogaster/Ensembl/BDGP5,Drosophila melanogaster,Ensembl,BDGP5
s3://ngi-igenomes/igenomes/Drosophila_melanogaster/Ensembl/BDGP6/Sequence/WholeGenomeFasta/genome.fa,Drosophila_melanogaster/Ensembl/BDGP6,Drosophila melanogaster,Ensembl,BDGP6
s3://ngi-igenomes/igenomes/Drosophila_melanogaster/NCBI/build4.1/Sequence/WholeGenomeFasta/genome.fa,Drosophila_melanogaster/NCBI/build4.1,Drosophila melanogaster,NCBI,build4.1
s3://ngi-igenomes/igenomes/Drosophila_melanogaster/NCBI/build5.3/Sequence/WholeGenomeFasta/genome.fa,Drosophila_melanogaster/NCBI/build5.3,Drosophila melanogaster,NCBI,build5.3
s3://ngi-igenomes/igenomes/Drosophila_melanogaster/NCBI/build5.41/Sequence/WholeGenomeFasta/genome.fa,Drosophila_melanogaster/NCBI/build5.41,Drosophila melanogaster,NCBI,build5.41
s3://ngi-igenomes/igenomes/Drosophila_melanogaster/NCBI/build5/Sequence/WholeGenomeFasta/genome.fa,Drosophila_melanogaster/NCBI/build5,Drosophila melanogaster,NCBI,build5
s3://ngi-igenomes/igenomes/Drosophila_melanogaster/UCSC/dm3/Sequence/WholeGenomeFasta/genome.fa,Drosophila_melanogaster/UCSC/dm3,Drosophila melanogaster,UCSC,dm3
s3://ngi-igenomes/igenomes/Drosophila_melanogaster/UCSC/dm6/Sequence/WholeGenomeFasta/genome.fa,Drosophila_melanogaster/UCSC/dm6,Drosophila melanogaster,UCSC,dm6
s3://ngi-igenomes/igenomes/Enterobacteriophage_lambda/NCBI/1993-04-28/Sequence/WholeGenomeFasta/genome.fa,Enterobacteriophage_lambda/NCBI/1993-04-28,Enterobacteriophage lambda,NCBI,1993-04-28
s3://ngi-igenomes/igenomes/Equus_caballus/Ensembl/EquCab2/Sequence/WholeGenomeFasta/genome.fa,Equus_caballus/Ensembl/EquCab2,Equus caballus,Ensembl,EquCab2
s3://ngi-igenomes/igenomes/Equus_caballus/NCBI/EquCab2.0/Sequence/WholeGenomeFasta/genome.fa,Equus_caballus/NCBI/EquCab2.0,Equus caballus,NCBI,EquCab2.0
