fasta,name,organism,source,genome_assembly,accession,group,pep_sample_name
mus_musculus/ensembl/mm39/fasta/Mus_musculus.GRCm39.dna_sm.primary_assembly.fa.gz,GRCm39-primary-sm-113-ensembl,Mus musculus,ensembl,mm39,,mus_musculus,GRCm39-primary-sm-113-ensembl
mus_musculus/ensembl/mm39/fasta/Mus_musculus.GRCm39.dna_sm.toplevel.fa.gz,GRCm39-toplevel-sm-113-ensembl,Mus musculus,ensembl,mm39,,mus_musculus,GRCm39-toplevel-sm-113-ensembl
mus_musculus/ensembl/mm9/fasta/Mus_musculus.NCBIM37.65.dna.toplevel.fa.gz,GRCm39-toplevel-65-ensembl,Mus musculus,ensembl,mm9,,mus_musculus,GRCm39-toplevel-65-ensembl
mus_musculus/ensembl/mm9/fasta/Mus_musculus.NCBIM37.65.dna_rm.toplevel.fa.gz,GRCm39-toplevel-rm-65-ensembl,Mus musculus,ensembl,mm9,,mus_musculus,GRCm39-toplevel-rm-65-ensembl
mus_musculus/gencode/mm39/fasta/GRCm39.genome.fa.gz,GRCm39-all-M36-gencode,Mus musculus,gencode,mm39,,mus_musculus,GRCm39-all-M36-gencode
mus_musculus/gencode/mm39/fasta/GRCm39.primary_assembly.genome.fa.gz,GRCm39-primary-M36-gencode,Mus musculus,gencode,mm39,,mus_musculus,GRCm39-primary-M36-gencode
mus_musculus/gencode/mm9/fasta/genome.NCBIM37.fa.gz,GRCm39-all-M1-gencode,Mus musculus,gencode,mm9,,mus_musculus,GRCm39-all-M1-gencode
mus_musculus/igenomes/mm10/fasta/Mus_musculus_UCSC_mm10_genome.fa.gz,mm10-igenomes-ucsc,Mus musculus,igenomes,mm10,,mus_musculus,mm10-igenomes-ucsc
mus_musculus/igenomes/mm37/fasta/Mus_musculus_Ensembl_NCBIM37_genome.fa.gz,NCBIM37-igenomes-ensembl,Mus musculus,igenomes,mm37,,mus_musculus,NCBIM37-igenomes-ensembl
mus_musculus/igenomes/mm37/fasta/Mus_musculus_NCBI_build37_1_genome.fa.gz,mm37-build37.1-igenomes-ncbi,Mus musculus,igenomes,mm37,,mus_musculus,mm37-build37.1-igenomes-ncbi
mus_musculus/igenomes/mm37/fasta/Mus_musculus_NCBI_build37_2_genome.fa.gz,mm37-build37.2-igenomes-ncbi,Mus musculus,igenomes,mm37,,mus_musculus,mm37-build37.2-igenomes-ncbi
mus_musculus/igenomes/mm38/fasta/Mus_musculus_Ensembl_GRCm38_genome.fa.gz,GRCm38-igenomes-ensembl,Mus musculus,igenomes,mm38,,mus_musculus,GRCm38-igenomes-ensembl
mus_musculus/igenomes/mm38/fasta/Mus_musculus_NCBI_GRCm38_genome.fa.gz,mm38-igenomes-ncbi,Mus musculus,igenomes,mm38,,mus_musculus,mm38-igenomes-ncbi
mus_musculus/igenomes/mm9/fasta/Mus_musculus_UCSC_mm9_genome.fa.gz,mm9-igenomes-ucsc,Mus musculus,igenomes,mm9,,mus_musculus,mm9-igenomes-ucsc
mus_musculus/ncbi/mm38/fasta/GCA_000001635.8_GRCm38.p6_genomic.fna.gz,GRCm38.p6-fasta-genomic-GCA,Mus musculus,ncbi,mm38,GCA_000001635.8,mus_musculus,GRCm38.p6-fasta-genomic-GCA
mus_musculus/ncbi/mm38/fasta/GCF_000001635.26_GRCm38.p6_genomic.fna.gz,GRCm38.p6-fasta-genomic,Mus musculus,ncbi,mm38,GCF_000001635.26,mus_musculus,GRCm38.p6-fasta-genomic
mus_musculus/ncbi/mm39/fasta/GCA_000001635.9_GRCm39_full_analysis_set.fna.gz,GRCm39-fasta-full-analysis-ucsc-ids,Mus musculus,ncbi,mm39,GCA_000001635.9,mus_musculus,GRCm39-fasta-full-analysis-ucsc-ids
