fasta,name,organism,source,genome_assembly,accession,group,pep_sample_name
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/oryza_sativa_subsp_indica/bgf/9311_BGF_2005.fa.gz,oryza_sativa_9311_BGF_2005,Oryza sativa subsp. indica,BGF,9311_BGF_2005,,oryza_sativa_subsp_indica,oryza_sativa_9311_BGF_2005
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/oryza_sativa_subsp_indica/mbkbase/MBKBASE_v1_0.fa.gz,oryza_sativa_MBKBASE_v1_0,Oryza sativa subsp. indica,MBKBASE,MBKBASE_v1_0,,oryza_sativa_subsp_indica,oryza_sativa_MBKBASE_v1_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/oryza_sativa_subsp_japonica/jgi/JGI_v7_0.fa.gz,oryza_sativa_JGI_v7_0,Oryza sativa subsp. japonica,JGI,JGI_v7_0,,oryza_sativa_subsp_japonica,oryza_sativa_JGI_v7_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/oryza_sativa_subsp_japonica/msu/MSU_RGAP_7.fa.gz,oryza_sativa_MSU_RGAP_7_2,Oryza sativa subsp. japonica,MSU,MSU_RGAP_7,,oryza_sativa_subsp_japonica,oryza_sativa_MSU_RGAP_7_2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/ostreococcus_lucimarinus/jgi/JGI_2_0.fa.gz,ostreococcus_lucimarinus_JGI_2_0,Ostreococcus lucimarinus,JGI,JGI_2_0,,ostreococcus_lucimarinus,ostreococcus_lucimarinus_JGI_2_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/ostreococcus_lucimarinus/jgi/JGI_v2_0_assembly_and_annotation.fa.gz,ostreococcus_lucimarinus_JGI_v2_0_assembly_and_annotation,Ostreococcus lucimarinus,JGI,JGI_v2_0_assembly_and_annotation,,ostreococcus_lucimarinus,ostreococcus_lucimarinus_JGI_v2_0_assembly_and_annotation
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/ostreococcus_mediterraneus/ghent/Ghent_University.fa.gz,ostreococcus_mediterraneus_Ghent_University,Ostreococcus mediterraneus,Ghent,Ghent_University,,ostreococcus_mediterraneus,ostreococcus_mediterraneus_Ghent_University
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/ostreococcus_sp_rcc809/jgi/JGI_2_0.fa.gz,ostreococcus_sp_JGI_2_0,Ostreococcus sp. RCC809,JGI,JGI_2_0,,ostreococcus_sp_rcc809,ostreococcus_sp_JGI_2_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/ostreococcus_tauri/ghent/Ghent_University_v2_0.fa.gz,ostreococcus_tauri_Ghent_University_v2_0,Ostreococcus tauri,Ghent,Ghent_University_v2_0,,ostreococcus_tauri,ostreococcus_tauri_Ghent_University_v2_0
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/plantref/paramecium_tetraurelia/ensembl/ENSEMBL_protist_release_28.fa.gz,paramecium_tetraurelia_ENSEMBL_protist_release_28,Paramecium tetraurelia,Ensembl,ENSEMBL_protist_release_28,,paramecium_tetraurelia,paramecium_tetraurelia_ENSEMBL_protist_release_28
