fasta,name,organism,source,genome_assembly,accession,population
HG01361.alt.pat.f1_v2.unmasked.fa.gz,HG01361.alt.pat.f1_v2,Homo sapiens,HPRC,HG01361.alt.pat.f1_v2,GCA_018469705.1,"Colombian In Medellin, Colombia"
HG01361.pri.mat.f1_v2.unmasked.fa.gz,HG01361.pri.mat.f1_v2,Homo sapiens,HPRC,HG01361.pri.mat.f1_v2,GCA_018469685.1,"Colombian In Medellin, Colombia"
HG01891.alt.pat.f1_v2.unmasked.fa.gz,HG01891.alt.pat.f1_v2,Homo sapiens,HPRC,HG01891.alt.pat.f1_v2,GCA_018467165.1,African Caribbean In Barbados
HG01891.pri.mat.f1_v2.unmasked.fa.gz,HG01891.pri.mat.f1_v2,Homo sapiens,HPRC,HG01891.pri.mat.f1_v2,GCA_018467155.1,African Caribbean In Barbados
HG01928.alt.pat.f1_v2.unmasked.fa.gz,HG01928.alt.pat.f1_v2,Homo sapiens,HPRC,HG01928.alt.pat.f1_v2,GCA_018472705.1,"Peruvian In Lima, Peru"
HG01928.pri.mat.f1_v2.unmasked.fa.gz,HG01928.pri.mat.f1_v2,Homo sapiens,HPRC,HG01928.pri.mat.f1_v2,GCA_018472695.1,"Peruvian In Lima, Peru"
HG01952.alt.pat.f1_v2.unmasked.fa.gz,HG01952.alt.pat.f1_v2,Homo sapiens,HPRC,HG01952.alt.pat.f1_v2,GCA_018471555.1,"Peruvian In Lima, Peru"
HG01952.pri.mat.f1_v2.unmasked.fa.gz,HG01952.pri.mat.f1_v2,Homo sapiens,HPRC,HG01952.pri.mat.f1_v2,GCA_018471545.1,"Peruvian In Lima, Peru"
HG01978.alt.pat.f1_v2.unmasked.fa.gz,HG01978.alt.pat.f1_v2,Homo sapiens,HPRC,HG01978.alt.pat.f1_v2,GCA_018472845.1,"Peruvian In Lima, Peru"
HG01978.pri.mat.f1_v2.unmasked.fa.gz,HG01978.pri.mat.f1_v2,Homo sapiens,HPRC,HG01978.pri.mat.f1_v2,GCA_018472865.1,"Peruvian In Lima, Peru"
HG02055.alt.pat.f1_v2.unmasked.fa.gz,HG02055.alt.pat.f1_v2,Homo sapiens,HPRC,HG02055.alt.pat.f1_v2,GCA_018505855.1,Barbados
HG02055.pri.mat.f1_v2.unmasked.fa.gz,HG02055.pri.mat.f1_v2,Homo sapiens,HPRC,HG02055.pri.mat.f1_v2,GCA_018506125.1,Barbados
